,woba
0,0.321
1,0.391
2,0.36
3,0.331
4,0.363
5,0.39
6,0.34600000000000003
7,0.376
8,0.371
9,0.306
10,0.376
11,0.341
12,0.396
13,0.345
14,0.331
15,0.35600000000000004
16,0.349
17,0.35100000000000003
18,0.36700000000000005
19,0.36700000000000005
20,0.312
21,0.311
22,0.37799999999999995
23,0.344
24,0.332
25,0.297
26,0.34600000000000003
27,0.305
28,0.38799999999999996
29,0.305
30,0.35600000000000004
31,0.449
32,0.385
33,0.447
34,0.368
35,0.293
36,0.423
37,0.377
38,0.348
39,0.306
40,0.428
41,0.308
42,0.366
43,0.34
44,0.37200000000000005
45,0.28800000000000003
46,0.359
47,0.359
48,0.35
49,0.363
50,0.36200000000000004
51,0.361
52,0.374
53,0.376
54,0.349
55,0.33299999999999996
56,0.309
57,0.316
58,0.35100000000000003
59,0.311
60,0.324
61,0.32899999999999996
62,0.38299999999999995
63,0.337
64,0.37200000000000005
65,0.35600000000000004
66,0.34299999999999997
67,0.341
68,0.315
69,0.316
70,0.315
71,0.32799999999999996
72,0.318
73,0.361
74,0.368
75,0.33799999999999997
76,0.386
77,0.301
78,0.35700000000000004
79,0.348
80,0.359
81,0.332
82,0.364
83,0.306
84,0.318
85,0.327
86,0.35
87,0.32
88,0.294
89,0.324
90,0.305
91,0.239
92,0.322
93,0.354
94,0.312
95,0.33
96,0.319
97,0.34700000000000003
98,0.31
99,0.315
100,0.327
101,0.349
102,0.284
103,0.293
104,0.34299999999999997
105,0.361
106,0.278
107,0.32299999999999995
108,0.3
109,0.29
110,0.391
111,0.321
112,0.364
113,0.322
114,0.32799999999999996
115,0.337
116,0.35
117,0.34600000000000003
118,0.299
119,0.324
120,0.34299999999999997
121,0.34
122,0.353
123,0.409
124,0.39299999999999996
125,0.355
126,0.303
127,0.275
128,0.38799999999999996
129,0.34
130,0.325
131,0.33799999999999997
132,0.32299999999999995
133,0.322
134,0.28
135,0.308
136,0.263
137,0.322
138,0.302
139,0.349
140,0.33
141,0.295
142,0.261
143,0.306
144,0.32899999999999996
145,0.29600000000000004
146,0.313
147,0.281
148,0.32299999999999995
149,0.321
150,0.32899999999999996
151,0.327
152,0.312
153,0.34
154,0.29100000000000004
155,0.33899999999999997
156,0.327
157,0.29100000000000004
158,0.327
159,0.319
160,0.256
161,0.31
162,0.341
163,0.27899999999999997
164,0.299
165,0.353
166,0.341
167,0.33299999999999996
168,0.342
169,0.284
170,0.27399999999999997
171,0.292
172,0.326
173,0.29
174,0.285
175,0.271
176,0.341
177,0.324
178,0.355
179,0.396
180,0.32
181,0.322
182,0.34
183,0.335
184,0.35100000000000003
185,0.313
186,0.33899999999999997
187,0.311
188,0.28800000000000003
189,0.336
190,0.325
191,0.292
192,0.27399999999999997
193,0.325
194,0.27
195,0.303
196,0.326
197,0.29600000000000004
198,0.355
199,0.27899999999999997
200,0.325
201,0.29600000000000004
202,0.305
203,0.308
204,0.314
205,0.26899999999999996
206,0.33399999999999996
207,0.292
208,0.33
209,0.312
210,0.249
211,0.336
212,0.271
213,0.28800000000000003
214,0.297
215,0.303
216,0.29100000000000004
217,0.276
218,0.28
219,0.331
220,0.295
221,0.315
222,0.301
223,0.316
224,0.27399999999999997
225,0.318
226,0.359
227,0.321
228,0.358
229,0.305
230,0.33899999999999997
231,0.39
232,0.285
233,0.354
234,0.297
235,0.29
236,0.32799999999999996
237,0.304
238,0.32899999999999996
239,0.295
240,0.336
241,0.28600000000000003
242,0.285
243,0.261
244,0.325
245,0.32299999999999995
246,0.34299999999999997
247,0.282
248,0.335
249,0.316
250,0.32799999999999996
251,0.302
252,0.348
253,0.255
254,0.302
255,0.29100000000000004
256,0.29100000000000004
257,0.35100000000000003
258,0.295
259,0.33799999999999997
260,0.35700000000000004
261,0.292
262,0.33399999999999996
263,0.366
264,0.364
265,0.292
266,0.33299999999999996
267,0.282
268,0.254
269,0.29600000000000004
270,0.326
271,0.312
272,0.33399999999999996
273,0.32299999999999995
274,0.297
275,0.335
276,0.311
277,0.22699999999999998
278,0.361
279,0.28300000000000003
280,0.304
281,0.294
282,0.325
283,0.266
284,0.289
285,0.3
286,0.249
287,0.32899999999999996
288,0.297
289,0.268
290,0.34
291,0.28600000000000003
292,0.341
293,0.253
294,0.276
295,0.302
296,0.327
297,0.308
298,0.309
299,0.3
300,0.312
301,0.377
302,0.382
303,0.35600000000000004
304,0.322
305,0.326
306,0.237
307,0.299
308,0.307
309,0.281
310,0.27399999999999997
311,0.315
312,0.358
313,0.322
314,0.29
315,0.29100000000000004
316,0.308
317,0.256
318,0.342
319,0.256
320,0.313
321,0.31
322,0.29600000000000004
323,0.244
324,0.287
325,0.36700000000000005
326,0.321
327,0.281
328,0.265
329,0.309
330,0.273
331,0.29
332,0.34600000000000003
333,0.243
334,0.245
335,0.281
336,0.23600000000000002
337,0.302
338,0.28600000000000003
339,0.371
340,0.222
341,0.257
342,0.316
343,0.22899999999999998
344,0.255
345,0.264
346,0.261
347,0.278
348,0.276
349,0.271
350,0.268
351,0.257
352,0.311
353,0.322
354,0.295
355,0.255
356,0.332
357,0.298
358,0.265
359,0.271
360,0.309
361,0.35700000000000004
362,0.266
363,0.309
364,0.298
365,0.259
366,0.3
367,0.252
368,0.36
369,0.306
370,0.39799999999999996
371,0.258
372,0.28800000000000003
373,0.29100000000000004
374,0.322
375,0.45
376,0.21899999999999997
377,0.29600000000000004
378,0.285
379,0.221
380,0.298
381,0.228
382,0.245
383,0.23199999999999998
384,0.162
385,0.313
386,0.36
387,0.281
388,0.345
389,0.248
390,0.24600000000000002
391,0.33399999999999996
392,0.255
393,0.266
394,0.28800000000000003
395,0.239
396,0.192
397,0.311
398,0.34
399,0.316
400,0.302
401,0.34700000000000003
402,0.252
403,0.342
404,0.271
405,0.304
406,0.29
407,0.215
408,0.247
409,0.335
410,0.21899999999999997
411,0.254
412,0.292
413,0.228
414,0.247
415,0.281
416,0.3
417,0.204
418,0.207
419,0.263
420,0.315
421,0.34600000000000003
422,0.19399999999999998
423,0.27899999999999997
424,0.22
425,0.319
426,0.304
427,0.29100000000000004
428,0.24600000000000002
429,0.282
430,0.24100000000000002
431,0.27699999999999997
432,0.242
433,0.298
434,0.316
435,0.266
436,0.31
437,0.22
438,0.295
439,0.265
440,0.276
441,0.311
442,0.266
443,0.259
444,0.256
445,0.27699999999999997
446,0.263
447,0.25
448,0.287
449,0.366
450,0.255
451,0.268
452,0.298
453,0.321
454,0.299
455,0.34
456,0.171
457,0.17600000000000002
458,0.299
459,0.276
460,0.251
461,0.23600000000000002
462,0.21100000000000002
463,0.193
464,0.366
465,0.196
466,0.348
467,0.353
468,0.319
469,0.298
470,0.33399999999999996
471,0.379
472,0.324
473,0.24600000000000002
474,0.242
475,0.175
476,0.245
477,0.24
478,0.24600000000000002
479,0.304
480,0.207
481,0.249
482,0.254
483,0.27399999999999997
484,0.215
485,0.278
486,0.38299999999999995
487,0.27399999999999997
488,0.244
489,0.392
490,0.248
491,0.341
492,0.17800000000000002
493,0.059000000000000004
494,0.242
495,0.18
496,0.17600000000000002
497,0.27
498,0.218
499,0.26899999999999996
500,0.11
501,0.195
502,0.124
503,0.095
504,0.27699999999999997
505,0.085
506,0.379
507,0.37
508,0.052000000000000005
509,0.359
510,0.25
511,0.32299999999999995
512,0.115
513,0.191
514,0.079
515,0.25
516,0.264
517,0.187
518,0.18100000000000002
519,0.221
520,0.33
521,0.017
522,0.264
523,0.115
524,0.068
525,0.133
526,0.25
527,0.061
528,0.177
529,0.163
530,0.26899999999999996
531,0.068
532,0.19699999999999998
533,0.28800000000000003
534,0.209
535,0.08800000000000001
536,0.157
537,0.196
538,0.257
539,0.08900000000000001
540,0.284
541,0.183
542,0.207
543,0.141
544,0.36200000000000004
545,0.373
546,0.191
547,0.212
548,0.13699999999999998
549,0.159
550,0.28300000000000003
551,0.134
552,0.128
553,0.20800000000000002
554,0.18600000000000003
555,0.057
556,0.249
557,0.222
558,0.084
559,0.04
560,0.27
561,0.213
562,0.258
563,0.075
564,0.106
565,0.275
566,0.33899999999999997
567,0.159
568,0.128
569,0.11199999999999999
570,0.078
571,0.207
572,0.165
573,0.263
574,0.059000000000000004
575,0.153
576,0.213
577,0.168
578,0.281
579,0.162
580,0.145
581,0.205
582,0.16
583,0.153
584,0.22399999999999998
585,0.037000000000000005
586,0.21899999999999997
587,0.14400000000000002
588,0.11
589,0.10099999999999999
590,0.19699999999999998
591,0.242
592,0.141
593,0.098
594,0.22699999999999998
595,0.094
596,0.073
597,0.08199999999999999
598,0.131
599,0.091
600,0.43200000000000005
601,0.146
602,0.263
603,0.259
604,0.094
605,0.385
606,0.059000000000000004
607,0.132
608,0.282
609,0.142
610,0.077
611,0.066
612,0.11599999999999999
613,0.188
614,0.21100000000000002
615,0.243
616,0.228
617,0.085
618,0.217
619,0.162
620,0.11599999999999999
621,0.12300000000000001
622,0.27699999999999997
623,0.154
624,0.12300000000000001
625,0.271
626,0.141
627,0.369
628,0.303
629,0.31
630,0.094
631,0.225
632,0.177
633,0.245
634,0.14800000000000002
635,0.08900000000000001
636,0.172
637,0.126
638,0.182
639,0.066
640,0.12
641,0.212
642,0.19399999999999998
643,0.33
644,0.18
645,0.22899999999999998
646,0.15
647,0.175
648,0.034
649,0.17600000000000002
650,0.244
651,0.215
652,0.083
653,0.225
654,0.059000000000000004
655,0.196
656,0.115
657,0.24100000000000002
658,0.125
659,0.21100000000000002
660,0.196
661,0.301
662,0.125
663,0.205
664,0.196
665,0.146
666,0.28600000000000003
667,0.19899999999999998
668,0.268
669,0.0
670,0.28
671,0.057999999999999996
672,0.188
673,0.10400000000000001
674,0.235
675,0.092
676,0.223
677,0.34
678,0.0
679,0.39799999999999996
680,0.131
681,0.316
682,0.174
683,0.18899999999999997
684,0.175
685,0.306
686,0.10400000000000001
687,0.368
688,0.22699999999999998
689,0.08
690,0.069
691,0.053
692,0.196
693,0.44799999999999995
694,0.0
695,0.177
696,0.086
697,0.157
698,0.0
699,0.0
700,0.065
701,0.08800000000000001
702,0.196
703,0.22
704,0.48700000000000004
705,0.131
706,0.24
707,0.11
708,0.08800000000000001
709,0.0
710,0.618
711,0.157
712,0.11
713,0.0
714,0.251
715,0.057999999999999996
716,0.175
717,0.4
718,0.0
719,0.264
720,0.0
721,0.0
722,0.098
723,0.086
724,0.47
725,0.263
726,0.0
727,0.35
728,0.272
729,0.11
730,0.0
731,0.147
732,0.17600000000000002
733,0.0
734,0.138
735,0.32299999999999995
736,0.138
737,0.147
738,0.314
739,0.138
740,0.0
741,0.147
742,0.0
743,0.293
744,0.196
745,0.0
746,0.0
747,0.0
748,0.312
749,0.17600000000000002
750,0.126
751,0.0
752,0.0
753,0.0
754,0.22
755,0.293
756,0.17600000000000002
757,0.0
758,0.0
759,0.48200000000000004
760,0.17600000000000002
761,0.387
762,0.0
763,0.0
764,0.17600000000000002
765,0.0
766,0.23
767,0.345
768,0.0
769,0.0
770,0.22
771,0.648
772,0.0
773,0.0
774,0.147
775,0.0
776,0.0
777,0.523
778,0.0
779,0.0
780,0.0
781,0.22
782,0.44
783,0.147
784,0.47
785,0.0
786,0.17600000000000002
787,0.0
788,0.17600000000000002
789,0.17600000000000002
790,0.293
791,0.0
792,0.22
793,0.0
794,0.0
795,0.41600000000000004
796,0.20800000000000002
797,0.0
798,0.0
799,0.23
800,0.7090000000000001
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.677
807,0.0
808,0.345
809,0.18
810,0.0
811,0.293
812,0.44
813,0.293
814,0.0
815,0.0
816,0.0
817,0.0
818,0.44
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.41600000000000004
825,0.345
826,0.23
827,0.345
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.345
836,0.293
837,0.0
838,0.22
839,0.23
840,0.0
841,0.23
842,0.0
843,0.0
844,0.23
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.345
859,0.0
860,0.0
861,0.0
862,0.345
863,0.0
864,0.0
865,0.0
866,0.293
867,0.0
868,0.0
869,0.0
870,0.293
871,0.785
872,0.0
873,0.0
874,0.0
875,0.88
876,0.0
877,0.0
878,0.0
879,0.624
880,0.44
881,0.0
882,0.0
883,0.0
884,0.0
885,nan
886,0.0
887,0.0
888,0.0
889,0.0
890,0.293
891,0.44
892,0.0
893,0.0
894,0.44
895,0.0
896,0.624
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.293
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,nan
929,0.0
930,0.0
931,0.0
932,0.624
933,0.88
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,nan
947,0.0
948,0.0
949,0.0
950,0.0
951,0.88
952,0.0
953,0.0
954,0.0
955,1.247
956,0.0
957,nan
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.88
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.88
986,0.0
987,0.0
988,nan
989,nan
